Country,TotalPrice
United Kingdom,7285024.64
Netherlands,285446.34
EIRE,265262.46
Germany,228678.4
France,208934.31
Australia,138453.81
Spain,61558.56
Switzerland,56443.95
Belgium,41196.34
Sweden,38367.83
Japan,37416.369999999995
Norway,36165.44
Portugal,33375.840000000004
Finland,22546.08
Singapore,21279.29
Channel Islands,20440.54
Denmark,18955.34
Italy,17483.24
Cyprus,13502.85
Austria,10198.68
Poland,7334.65
Israel,7215.84
Greece,4760.52
Iceland,4310.0
Canada,3666.38
USA,3580.39
Malta,2725.59
Unspecified,2660.77
United Arab Emirates,1902.28
Lebanon,1693.88
Lithuania,1661.06
European Community,1300.25
Brazil,1143.6
RSA,1002.3100000000001
Czech Republic,826.74
Bahrain,548.4
Saudi Arabia,145.92
